gene,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,fdr
Mybl2,0.7785114045618248,0.22148859543817523,1.2570125079718935,1.064329e-05,3.6789015e-06,1.839682e-08,0.1,1.9815643,1.9290628,2.4888437,-5.7742023,10.750941,0.0060073943,0.0034527406,0.005083179297597041,0.0034527406128614588,0.021133754,0.014868429,False,RES_vs_CON,CURES,CON,0.7800783991547214
AB124611,0.7785114045618248,0.22148859543817523,1.2570125079718935,1.1255657e-05,4.4053477e-06,1.839682e-08,0.1,1.6610937,1.7238617,2.03695,-6.6745005,8.926796,0.011552682,0.0047475183,0.010166358595194085,0.004747518342684506,0.042399175,0.023046385,False,RES_vs_CON,CURES,CON,0.7800783991547214
Glul,0.7783113245298119,0.2216886754701881,1.2558525370452895,0.00029435015,0.00046463875,1.839682e-08,0.1,-0.6009524,-0.5739951,0.6503059,-2.739729,1.7565126,0.7292072,1.1838616,0.45194085027726916,0.6012084592144937,2.8461812,5.1201954,False,RES_vs_CON,CURES,CON,0.7799730640746507
Rpl26,0.7777110844337735,0.22228891556622654,1.2523771090843407,3.309962e-05,6.29069e-05,1.839682e-08,0.1,-0.88396025,-0.8997073,1.0211563,-4.1154976,2.7055912,0.08086878,0.10012934,0.07624768946395571,0.09149762624082881,0.3215811,0.45541614,False,RES_vs_CON,CURES,CON,0.7794190882795285
Shb,0.7769107643057223,0.22308923569427774,1.2477536138838279,3.542084e-06,1.0578876e-05,1.839682e-08,0.1,-1.7092623,-1.7423391,2.1381469,-9.543112,6.5608644,0.0073937164,0.009063444,0.007393715341959332,0.00906344410876133,0.028528245,0.036831476,False,RES_vs_CON,CURES,CON,0.7786645132093469
Rex1bd,0.7767106842737095,0.22328931572629052,1.246599588877561,7.0540077e-06,1.98835e-05,1.839682e-08,0.1,-1.5273229,-1.528192,1.9310039,-8.326388,5.9110556,0.023105366,0.024600793,0.02310536044362291,0.024169184290030243,0.09341852,0.10808078,False,RES_vs_CON,CURES,CON,0.7785114778064978
5031439G07Rik,0.7755102040816326,0.22448979591836737,1.2396908552772985,0.00044739724,0.00030483896,1.839682e-08,0.1,0.5911749,0.62695074,0.65306544,-1.896986,2.6417542,1.1390955,0.6154544,0.6390942698706005,0.40785498489426314,4.4602404,2.772763,False,RES_vs_CON,CURES,CON,0.7773556429710818
Bloc1s1,0.7751100440176071,0.22488995598239292,1.2373937819485077,8.282544e-06,2.1387008e-05,1.839682e-08,0.1,-1.3151481,-1.3018141,1.6008842,-7.501706,4.268939,0.019408507,0.015537333,0.019408502772643253,0.014674147604661212,0.08262614,0.071037814,False,RES_vs_CON,CURES,CON,0.7770019406346869
Rpl32,0.7749099639855942,0.2250900360144058,1.2362463333542908,1.7595074e-05,3.3721906e-05,1.839682e-08,0.1,-0.94250745,-0.9217167,1.1146274,-5.2754803,3.080474,0.06839188,0.084160514,0.06469500924214411,0.07811825636599053,0.28748828,0.38499928,False,RES_vs_CON,CURES,CON,0.7768487757585489
Fam102a,0.7743097238895558,0.22569027611044423,1.232808322572042,3.1761458e-05,1.8356192e-05,1.839682e-08,0.1,0.8478131,0.8434553,1.0252515,-2.6468859,4.571666,0.09796675,0.048338424,0.09288354898336443,0.04574881312041429,0.36169702,0.21690252,False,RES_vs_CON,CURES,CON,0.7762944064480424
Ndrg3,0.7737094837935174,0.22629051620648255,1.2293767842249443,0.00012033538,0.00017389884,1.839682e-08,0.1,-0.49951518,-0.49870157,0.5278423,-2.331956,1.2206755,0.31330773,0.43461606,0.2610905730129414,0.3340526542943487,1.1998724,1.8713806,False,RES_vs_CON,CURES,CON,0.775739969469631
Pxn,0.7735094037615046,0.22649059623849543,1.2282343697812963,3.1631258e-05,1.7946768e-05,1.839682e-08,0.1,0.88325167,0.8512759,1.1035,-2.8157063,5.2186413,0.0822551,0.0366854,0.07670979667282818,0.033664220975399256,0.31210572,0.15581113,False,RES_vs_CON,CURES,CON,0.7755866995235594
Rpl8,0.773109243697479,0.22689075630252098,1.225951679905421,3.234416e-05,5.709469e-05,1.839682e-08,0.1,-0.7295838,-0.7115326,0.8529338,-4.407731,2.0916595,0.12292055,0.1333619,0.11598890942698764,0.11998273629693613,0.5165921,0.58577627,False,RES_vs_CON,CURES,CON,0.7752327812648591
Ppp1r1a,0.7729091636654661,0.22709083633453386,1.2248114016536675,1.2147405e-05,3.6290792e-05,1.839682e-08,0.1,-1.2775623,-1.2726402,1.5103128,-6.2003975,4.29484,0.037430692,0.03064309,0.036968576709796634,0.026758739749676342,0.14971976,0.1326598,False,RES_vs_CON,CURES,CON,0.7750794616467024
Fnbp1,0.7727090836334534,0.22729091636654664,1.2236718326523661,0.0004937195,0.00035985513,1.839682e-08,0.1,0.49740106,0.4726119,0.50828224,-1.2034292,2.0602407,1.5207876,0.84722215,0.7342883548983167,0.5321536469572727,5.6854596,3.734003,False,RES_vs_CON,CURES,CON,0.7749261233093444
Primpol,0.7713085234093637,0.22869147659063627,1.2157145914405667,1.7328763e-05,7.9747615e-06,1.839682e-08,0.1,1.2264258,1.2027102,1.4977552,-3.816763,6.448596,0.031423297,0.014674148,0.029574861367837314,0.014674147604661212,0.11535019,0.058479536,False,RES_vs_CON,CURES,CON,0.7735687681666072
Aarsd1,0.7709083633453382,0.2290916366546618,1.2134473979588742,2.3959783e-05,4.8834736e-05,1.839682e-08,0.1,-0.8668442,-0.86440086,1.0310563,-4.2222195,2.7290945,0.06238449,0.0725076,0.06238447319778179,0.0690548122572291,0.25028202,0.3121325,False,RES_vs_CON,CURES,CON,0.773214640273351
Gm19522,0.7707082833133253,0.2292917166866747,1.2123148450058445,2.7143562e-05,4.8062582e-05,1.839682e-08,0.1,-0.77202487,-0.79365206,0.912745,-3.8896246,2.3562946,0.0757856,0.12041417,0.06839186691312382,0.1018558480794133,0.30098206,0.5071896,False,RES_vs_CON,CURES,CON,0.7730611599872578
Gm4131,0.7701080432172869,0.22989195678271312,1.2089213449214877,2.5384932e-06,7.9568235e-07,1.839682e-08,0.1,1.812312,1.8028221,2.3003473,-5.9972725,10.015024,0.004158965,0.00043159258,0.0041589648798521246,0.00043159257660768235,0.017818624,0.0017644832,False,RES_vs_CON,CURES,CON,0.7725062547458991
1810019N24Rik,0.7699079631852741,0.2300920368147259,1.207791559955998,2.998595e-06,1.0285456e-05,1.839682e-08,0.1,-1.6974305,-1.7419548,2.1611586,-8.469465,6.14034,0.006931609,0.0056107035,0.006931608133086874,0.005179110919292188,0.02421579,0.028138641,False,RES_vs_CON,CURES,CON,0.7723527124577237
Pus3,0.7691076430572229,0.2308923569427771,1.203279292713995,1.5659583e-05,2.9539e-05,1.839682e-08,0.1,-0.9819849,-0.9711671,1.2371273,-5.5597095,3.4792147,0.033733834,0.047906846,0.03373382624768943,0.04661199827362965,0.13790146,0.21238153,False,RES_vs_CON,CURES,CON,0.7715969685584158
Hecw2,0.767907162865146,0.23209283713485396,1.1965313624034364,6.3253596e-05,4.177406e-05,1.839682e-08,0.1,0.76103926,0.77924347,0.9048066,-2.9530354,4.180956,0.16219923,0.09753979,0.1474121996303152,0.08933966335779038,0.62890416,0.44741613,False,RES_vs_CON,CURES,CON,0.7704396525924404
Atp5d,0.767907162865146,0.23209283713485396,1.1965313624034364,3.2066873e-05,5.947503e-05,1.839682e-08,0.1,-0.8110675,-0.8003731,0.9630565,-4.70383,2.5206537,0.09380779,0.108761206,0.08826247689463979,0.095381959430298,0.3770396,0.47576955,False,RES_vs_CON,CURES,CON,0.7704396525924404
Gm14798,0.7677070828331333,0.23229291716686673,1.1954090785257676,1.297855e-05,3.178791e-05,1.839682e-08,0.1,-1.304971,-1.3430624,1.705617,-7.877468,5.1232643,0.020332722,0.02589557,0.018946395563770795,0.022874406560207193,0.07643315,0.11654127,False,RES_vs_CON,CURES,CON,0.7703330049341994
Pnrc1,0.7671068427370948,0.23289315726290516,1.192046265412057,1.1979706e-05,3.3887576e-05,1.839682e-08,0.1,-1.0838004,-1.0191894,1.3104786,-5.8776674,3.4152908,0.0378928,0.04833842,0.036968576709796634,0.04445403539059125,0.15581468,0.2024682,False,RES_vs_CON,CURES,CON,0.7697777296735077
Med8,0.7665066026410564,0.2334933973589436,1.1886894826325323,2.6614174e-05,5.3947075e-05,1.839682e-08,0.1,-0.9969549,-0.996593,1.2580931,-5.802943,3.357685,0.033271726,0.03884338,0.033271719038816976,0.036253776435045335,0.13441914,0.16510266,False,RES_vs_CON,CURES,CON,0.7692223865722221
Ogfod2,0.765906362545018,0.23409363745498202,1.1853386951195215,3.888868e-06,1.0674933e-05,1.839682e-08,0.1,-1.4922194,-1.5477953,1.8805562,-8.619395,4.9608364,0.009242145,0.007337074,0.009242144177449167,0.0073370738023306,0.038171634,0.033387486,False,RES_vs_CON,CURES,CON,0.7686669756179092
Hhat,0.7655062024809924,0.23449379751900756,1.1831081502814416,2.3607878e-05,9.882446e-06,1.839682e-08,0.1,1.3735961,1.4005136,1.8106066,-6.1471004,8.489344,0.018022185,0.014242555,0.01663585951940851,0.013379369874838162,0.07590121,0.07100357,False,RES_vs_CON,CURES,CON,0.7683123102613479
Leng8,0.7653061224489796,0.23469387755102045,1.1819938680651325,0.00024320632,0.0001636174,1.839682e-08,0.1,0.7087576,0.6644993,0.77371424,-1.5577736,3.6680126,0.6178388,0.32326388,0.4487060998151619,0.2563659905049651,2.441861,1.4524752,False,RES_vs_CON,CURES,CON,0.7681584272983342
Fam214a,0.7651060424169668,0.23489395758303322,1.1808802442809325,0.00021239396,0.0003223145,1.839682e-08,0.1,-0.5525842,-0.5519624,0.6227312,-2.8919792,1.6756115,0.5263402,0.8165782,0.38585951940850677,0.4773413897281007,1.993364,3.4224858,False,RES_vs_CON,CURES,CON,0.7680045255301192
Gm3468,0.7647058823529411,0.23529411764705888,1.1786549669185697,3.301038e-06,1.3366825e-06,1.839682e-08,0.1,2.1077075,2.098709,2.8602815,-8.310205,13.053859,0.0013863216,0.0012947777,0.0013863216266173752,0.001294777729823047,0.0045432635,0.0051569836,False,RES_vs_CON,CURES,CON,0.7676497546773063
Snrnp27,0.7643057222889156,0.23569427771108442,1.1764323080450156,3.6773574e-05,7.485007e-05,1.839682e-08,0.1,-0.9329468,-0.89398813,1.1465313,-5.781684,2.660571,0.07255085,0.12688802,0.06885397412199629,0.11307725507121315,0.27998254,0.55849004,False,RES_vs_CON,CURES,CON,0.767294940464575
Gm48094,0.7641056422569028,0.2358943577430972,1.1753219573834846,1.1085219e-05,2.7827167e-05,1.839682e-08,0.1,-1.1835783,-1.1843519,1.5089473,-7.0048647,4.2185764,0.02957487,0.05049638,0.027264325323475027,0.04488562796719893,0.11445235,0.2218487,False,RES_vs_CON,CURES,CON,0.7671409577092464
Sbf1,0.7639055622248899,0.23609443777511008,1.1742122575606744,3.8870872e-05,2.4971569e-05,1.839682e-08,0.1,0.69830495,0.68634844,0.8468564,-2.312828,4.274827,0.13770783,0.057401896,0.1280036968576717,0.054812257229175564,0.5318831,0.25907817,False,RES_vs_CON,CURES,CON,0.766986956131921
Caskin1,0.7631052420968387,0.23689475790316128,1.1697799416079286,0.00015027272,0.000109855486,1.839682e-08,0.1,0.48589474,0.4852171,0.5493604,-1.4113188,2.3575096,0.4565619,0.23953448,0.3553604436229241,0.211048769961158,1.7604932,1.0365616,False,RES_vs_CON,CURES,CON,0.7662302375873643
4930402H24Rik,0.7631052420968387,0.23689475790316128,1.1697799416079286,0.00070313265,0.00053766917,1.839682e-08,0.1,0.42045486,0.40718317,0.4148263,-0.83147717,1.9154081,2.1159773,1.2917517,0.8419593345655879,0.682779456193336,8.058083,5.715243,False,RES_vs_CON,CURES,CON,0.7662302375873643
Rap2c,0.7627050820328132,0.23729491796718682,1.167567656185998,1.01634305e-05,2.918251e-05,1.839682e-08,0.1,-1.30978,-1.3037648,1.647438,-7.127022,5.373846,0.022181151,0.018990077,0.02171903881700554,0.017695295640914994,0.089958824,0.08770882,False,RES_vs_CON,CURES,CON,0.7659220666076811
