gene,logFC_CON_vs_CON,logFC_CSRES_vs_CON,logFC_CSSUS_vs_CON,logFC_CURES_vs_CON,logFC_CUSUS_vs_CON
Pms1,0.0,-0.019042075,0.11927058,0.16410603,0.1472365
Ormdl1,0.0,0.058969,0.00458375,0.038890656,-0.10259628
Osgepl1,0.0,-0.19874935,-0.16867064,0.023555331,-0.11435245
Asnsd1,0.0,-0.06674604,-0.036049016,-0.17607796,0.014917253
Dnah7a,0.0,-0.22815377,-0.099994205,-0.008326799,-0.14828178
Stk17b,0.0,0.15920535,0.15047015,0.28994232,0.15616335
Hecw2,0.0,0.27241844,0.2851605,0.31389537,-0.1509855
Ccdc150,0.0,-0.024392396,-0.26039603,-0.12950422,-0.16337578
Gtf3c3,0.0,0.028265499,-0.08738011,-0.01606194,-0.074297294
Pgap1,0.0,0.16250642,0.29181203,0.10321003,0.08199481
Ankrd44,0.0,0.119801685,0.061324187,0.2522625,-0.008320421
4930444A19Rik,0.0,-0.28157705,-0.30820692,-0.013900876,-0.33156955
Sf3b1,0.0,0.11058959,0.14045988,0.09354092,0.18025342
Coq10b,0.0,-0.2584768,-0.10791586,-0.0414915,-0.119598165
Hspd1,0.0,0.23378357,0.09010709,-0.10072237,0.21525708
Hspe1,0.0,0.016794045,0.058619,-0.34849814,0.12536733
Mob4,0.0,0.03032573,0.016518123,-0.08818175,0.066789724
Rftn2,0.0,0.10100258,0.24356423,0.2491278,0.14582872
Gm10561,0.0,0.01430922,0.17755139,0.20886144,0.012805365
Mars2,0.0,0.40462464,-0.0017565489,-0.019005775,0.2872026
Boll,0.0,-0.02843381,-0.12382741,-0.041783452,-0.013950273
Plcl1,0.0,-0.02801849,-0.050483085,-0.22249296,-0.022384942
Satb2,0.0,-0.20040019,-0.22879434,-0.30918676,-0.39136532
1700066M21Rik,0.0,0.39348686,0.006338179,0.24628201,-0.09293872
Tyw5,0.0,0.14963245,0.07950196,0.11161332,0.10255317
Maip1,0.0,-0.05211574,-0.046390653,-0.007487082,-0.021957729
Spats2l,0.0,0.09709269,0.21696162,0.16800979,0.04002072
Kctd18,0.0,0.09289558,-0.08917975,0.098227516,-0.11845485
Sgo2a,0.0,0.12941448,0.03085661,0.011621915,0.19025335
Aox1,0.0,0.14192325,0.13834743,0.2743545,0.061800048
Aox3,0.0,-0.05028037,-0.052854,-0.034480654,0.02529568
Aox2,0.0,0.038935002,-0.05291999,-0.11304803,-0.056248166
Bzw1,0.0,0.37439048,0.18689667,-0.19740967,-0.022900432
Clk1,0.0,-0.074734606,-0.16819271,-0.1048892,-0.26404127
Ppil3,0.0,0.25856856,0.15776746,0.30126187,0.0779347
Nif3l1,0.0,0.10620704,0.049214937,-0.3447649,-0.22389913
Orc2,0.0,-0.036318865,0.046849705,0.0031359233,-0.09823397
Gm15834,0.0,-0.22514796,-0.4613484,-0.18848278,-0.3481592
Fam126b,0.0,0.14745629,0.1572932,-0.04310319,0.046264388
Ndufb3,0.0,0.24578285,-0.015735611,0.023132324,0.054307044
Cflar,0.0,0.008663699,0.18145743,0.38751638,-0.020958439
Casp8,0.0,-0.0021450035,0.027375773,0.023297103,0.07920405
Trak2,0.0,0.20298237,0.21446146,0.10379424,0.09728855
Stradb,0.0,0.10079354,-0.055215776,0.17869714,-0.03213171
Tmem237,0.0,-0.3232718,-0.29909602,-0.18189374,-0.19749662
G730003C15Rik,0.0,0.010724403,-0.30088505,-0.07925029,-0.05683707
Mpp4,0.0,0.010862596,0.17603551,0.097629525,0.09306023
Als2,0.0,-0.08530803,0.2903216,0.15779802,-0.022814244
Cdk15,0.0,-0.022008372,0.007102254,-0.033865184,-0.0016353603
Fzd7,0.0,-0.045099918,-0.14174227,-0.16329704,-0.08526129
Gm973,0.0,-0.28328145,0.005524362,-0.013589518,-0.08628097
Sumo1,0.0,-0.108252704,-0.11927517,-0.10668992,-0.13387367
Nop58,0.0,0.27512884,-0.02282852,-0.05389005,0.08998155
Bmpr2,0.0,-0.029779166,0.11484494,-0.10308533,-0.06347
Fam117b,0.0,-0.07672773,-0.08588516,-0.09035657,-0.05900998
Ica1l,0.0,0.3754931,0.20902456,0.13059661,0.16000149
Wdr12,0.0,0.054404207,0.092804566,0.11345432,0.15397488
Carf,0.0,0.13317513,-0.078055575,0.10978107,-0.01201655
Nbeal1,0.0,0.022381969,0.047092937,0.077140555,-0.033246234
Cyp20a1,0.0,-0.21699122,-0.0128490655,-0.13910802,0.04292935
Abi2,0.0,0.0418157,0.08824808,0.10447819,0.05966612
Raph1,0.0,0.1451745,0.12568983,0.15292005,0.09882289
Pard3b,0.0,-0.17966628,-0.031556528,-0.11478377,0.031573966
Nrp2,0.0,0.36331582,0.1497348,0.14087982,-0.049598977
Ino80d,0.0,-0.012205422,0.033896282,0.096536115,0.12456618
Ino80dos,0.0,-0.12676717,-0.09611492,0.06836716,-0.026401736
Gm20342,0.0,0.11522461,0.14978744,0.21552834,-0.10319899
Ndufs1,0.0,-0.094950676,0.005927302,-0.0032871068,0.025547922
Eef1b2,0.0,0.07727798,-0.019628406,-0.15937744,0.0503289
Gpr1,0.0,-0.12296033,-0.01887246,0.021701334,0.0023272866
Zdbf2,0.0,0.19561914,0.094241515,-0.13385108,0.033941098
Adam23,0.0,0.3776715,0.24129269,0.467991,0.11723368
Dytn,0.0,-0.0021502716,-0.07714384,0.0046581603,0.054391794
Mdh1b,0.0,-0.046472948,0.06794945,0.03723194,0.0048826262
Fastkd2,0.0,0.18604794,-0.081788205,-0.1015007,0.014398832
4933402D24Rik,0.0,0.1256619,-0.14071284,-0.07133498,0.015421637
Klf7,0.0,0.117166474,0.16327898,0.21074119,0.16560608
Gm13748,0.0,0.10176205,-0.13424425,0.009797994,-0.3106647
Gm28981,0.0,-0.13419496,0.021140385,-0.02696111,-0.07586996
Creb1,0.0,0.0029290318,0.11840241,0.068728395,-0.019704938
Mettl21a,0.0,0.05278647,0.22054775,0.008393146,0.0252017
Gm28982,0.0,0.013888821,0.09423776,0.13953343,-0.018032268
2810408I11Rik,0.0,0.006078679,0.018057529,-0.007905722,0.05770704
Ccnyl1,0.0,0.20651153,0.2788076,0.1418394,-0.011843443
Plekhm3,0.0,0.15204933,0.22446385,0.28967267,-0.021499068
D630023F18Rik,0.0,0.11681323,0.15308987,0.073118255,0.20498882
Idh1,0.0,-0.1781391,-0.19959141,-0.15947926,0.0065247007
Pikfyve,0.0,-0.013184516,-0.08967035,-0.11745332,-0.03371512
Pth2r,0.0,0.041171186,0.030533195,-0.12122499,-0.085220926
Map2,0.0,0.09873583,0.13692239,0.014845416,0.02696935
Gm10558,0.0,0.16087322,0.1924763,0.114424475,-0.08967809
Unc80,0.0,0.2914014,0.20332035,0.33775508,-0.18230136
Rpe,0.0,0.17134358,0.184658,0.22805089,0.001264438
Kansl1l,0.0,0.31782264,0.2920403,0.15170774,0.21071348
Acadl,0.0,0.19701819,0.04918158,0.32968813,0.049525335
Myl1,0.0,0.18569735,-0.04424312,0.12005897,-0.041659303
Lancl1,0.0,-0.2038452,0.123869285,-0.08307156,-0.22976834
Erbb4,0.0,-0.010238282,0.019469589,-0.079466745,0.10524899
Gm29114,0.0,0.06885129,-0.23798102,0.022693392,-0.3054757
Ikzf2,0.0,-0.20100571,-0.07925165,-0.28617838,-0.078518294
Gm28112,0.0,-0.40130162,-0.059655823,-0.3049342,-0.22715235
Spag16,0.0,0.10814507,-0.28757176,0.10425158,-0.0406106
Vwc2l,0.0,0.32516873,-0.09127495,0.42316914,-0.06853314
Bard1,0.0,0.04610204,-0.09038533,0.08706845,0.06816766
Atic,0.0,0.07800111,0.053829532,-0.03471736,-0.061956465
Fn1,0.0,-0.07152051,-0.059475362,0.15128127,0.16853392
Mreg,0.0,-0.0072362614,-0.11445052,0.037851285,-0.030031243
Pecr,0.0,-0.09981386,0.091764845,-0.056368828,-0.2375861
Tmem169,0.0,0.111677244,0.017088037,-0.031112462,0.07999413
Xrcc5,0.0,-0.1099659,-0.16327332,0.04769191,-0.15227106
March4,0.0,0.096114196,0.14828196,0.094749525,0.063632324
Smarcal1,0.0,0.14664766,0.13685018,0.09727667,0.1486611
Rpl37a,0.0,0.39866632,0.04032036,-0.2560302,0.18464588
Igfbp2,0.0,0.07860321,0.029068477,0.023008257,0.15816471
Igfbp5,0.0,0.22392555,0.25990784,0.5972562,0.2637398
6030407O03Rik,0.0,0.034472097,0.058666013,0.14979425,0.03343209
Tns1,0.0,0.16493535,0.22141948,0.23594287,0.17918423
Arpc2,0.0,0.005870659,-0.080047145,-0.042462286,-0.020936552
Aamp,0.0,0.1566236,0.036964245,0.09203998,-0.1121208
Pnkd,0.0,0.09172038,0.14814958,0.20992233,0.07450707
Tmbim1,0.0,-0.074683174,0.08875978,0.18094386,-0.13038732
Gm29358,0.0,0.10393715,0.17073691,0.20119753,-0.048958093
Catip,0.0,0.22897407,0.07107921,0.4752671,0.18411398
Slc11a1,0.0,-0.23536582,0.095591426,-0.107397914,-0.0919874
Ctdsp1,0.0,-0.058185995,0.3127436,0.05033328,0.044465277
Usp37,0.0,-0.13458906,0.07518135,-0.014478274,-0.04367993
Cnot9,0.0,0.0652031,0.25441235,0.1878454,0.057227783
Plcd4,0.0,-0.3917904,-0.2540731,-0.34304738,-0.29754335
Zfp142,0.0,0.14987418,0.08308855,0.29969788,0.21814542
Bcs1l,0.0,-0.036922716,0.16907714,0.033902984,-0.011830136
Rnf25,0.0,-0.33085456,-0.25374714,-0.18306959,-0.21076071
Stk36,0.0,0.20807742,0.16987927,0.1613392,0.045495406
Ttll4,0.0,0.33663136,0.10825798,0.19453119,-0.15579015
Cyp27a1,0.0,-0.1516543,0.104021244,0.034376208,-0.022949956
Wnt10a,0.0,-0.05146534,-0.01405601,-0.002105175,0.011186652
Gm16582,0.0,0.050544962,-0.003525233,-0.02252257,0.036916234
Cdk5r2,0.0,0.10484013,-0.116534755,-0.13368855,-0.3581276
Cfap65,0.0,-0.035064764,-0.05098611,0.114369035,0.07818042
Nhej1,0.0,-0.07480455,0.15628962,0.14841987,-0.18505934
Cnppd1,0.0,0.14161205,0.16205283,0.3499993,0.12585337
Retreg2,0.0,0.11015185,0.17404503,0.053371653,0.07828933
Zfand2b,0.0,0.25184566,0.29037562,0.07112336,-0.3127933
Abcb6,0.0,-0.123527154,-0.13740163,-0.12071452,-0.15465184
Atg9a,0.0,-0.10405594,-0.02561633,0.0069877384,-0.08584268
Ankzf1,0.0,-0.115012415,0.16689536,-0.26462302,0.049256124
Glb1l,0.0,0.07137763,0.15409741,0.2986745,0.13911176
Stk16,0.0,0.024884984,0.38625985,0.21506839,0.07901138
Tuba4a,0.0,0.30866912,0.25049773,0.18232737,0.2677534
Dnajb2,0.0,0.15117124,0.105585635,-0.14439175,-0.12762752
Ptprn,0.0,0.0071130036,-0.060601942,0.012221718,-0.3940859
Gm28294,0.0,-0.013333411,-0.036570188,0.006310858,-0.060842045
Resp18,0.0,-0.13712704,-0.21602382,-0.09092255,0.18036379
Dnpep,0.0,0.113183506,0.14623228,0.06856466,0.05130945
Speg,0.0,0.46057278,0.23861091,0.49520162,0.14569792
Gmppa,0.0,0.08311182,0.140414,0.15855105,-0.076337285
Asic4,0.0,-0.024614176,-0.14248928,0.11832174,-0.11227724
Chpf,0.0,0.21510784,0.23681186,0.24808158,0.17819081
Obsl1,0.0,-0.037326753,0.12465612,-0.07402105,-0.11302583
Tmem198,0.0,-0.23638295,-0.057552695,-0.0020227935,-0.025857855
Inha,0.0,0.07915871,0.22319569,0.041597567,0.051442526
Stk11ip,0.0,-0.025208242,0.005422206,0.06426243,-0.15980545
Slc4a3,0.0,0.089283936,0.030809782,0.122664995,-0.07534034
Gm816,0.0,0.04713544,-0.017722864,-0.000883393,0.046993896
Epha4,0.0,0.22589141,0.26722196,0.24254332,0.04834661
